vendor,product_name,current_price,old_price,month
Metro,Lactose Free 10% Coffee Cream,4.99,6.79,7
Metro,"10% Coffee Cream, Ultra'cream",4.99,5.89,7
Metro,Organic Tradizione Blend Espresso Beans Coffee,10.99,13.49,7
Metro,"Organic Ground Espresso Coffee, Barista Blend",10.99,13.49,7
Metro,Organic Ground Coffee From Nicaragua,10.99,13.49,7
Metro,"Organic Medium-Dark Roast Espresso Beans Coffee, Bar...",10.99,13.49,7
Metro,Organic Ground Coffee From Colombia,10.99,13.49,7
Metro,"Lactose Free French Vanilla Coffee Whitener, Coffee-...",5.49,7.29,7
Metro,French Vanilla Ground Coffee,6.99,8.29,7
Metro,Medium Roast Hazelnut Crème Coffee Beans,21.99,22.99,7
Metro,Dark Roast Ballacrema Espresso Coffee Beans,21.99,22.99,7
Metro,Natural Brown N°4 Cone Coffee Filters,3.29,3.9899999999999998,7
Metro,N°4 Cone Coffee Filters,3.29,3.69,7
Metro,Natural Brown N°2 Cone Coffee Filters,3.29,3.9899999999999998,7
Metro,"Dairy-Free Coconut-Based Beverage For Coffee, Barista",4.99,6.79,7
Metro,"Espresso Intenso Coffee Capsule, Nespresso",3.9899999999999998,4.99,9
Metro,Espresso Decaffeinated Coffee Capsules,8.99,9.99,9
Metro,Medium Roast Anniversary Blend Coffee Bean,13.99,15.99,9
Metro,"Barista Coffee Capsule, Nespresso",3.9899999999999998,4.99,9
Metro,"Napoli Coffee Capsule, Nespresso",3.9899999999999998,4.99,9
Metro,Holiday Blend Flavoured Organic Coffee Beans,13.99,15.49,9
Metro,Organic Vanilla Flavoured Cold Brew Coffee,2.24,4.49,9
Metro,"Double Double Chocolate Bar, Coffee Crisp",4,1.79,9
SaveOnFoods,"Salt Spring Coffee - Organic Metta Espresso Whole Bean, 400 Gram",9.99,12.99,9
Metro,Pumpkin Spice Flavoured Non-Dairy Coffee Enhancer,7.49,8.99,9
Metro,Pumpkin Spice Flavoured Coffee Enhancer,7.49,8.99,9
Metro,"Medium Roast Decaffeinated K-Cup Coffee Pods, House ...",9.99,12.99,6
Metro,"Medium Roast Decaffeinated K-Cup Coffee Pods, House ...",9.99,12.99,7
Metro,"Medium Roast Decaffeinated K-Cup Coffee Pods, House ...",11.49,12.99,8
Metro,"Medium Roast Decaffeinated K-Cup Coffee Pods, House ...",9.99,12.99,9
Metro,"Medium Roast Decaffeinated K-Cup Coffee Pods, House ...",11.49,12.99,9
Metro,"Medium Roast Decaffeinated K-Cup Coffee Pods, House ...",11.49,12.99,10
Metro,Salted Caramel Flavoured Instant Iced Latte Coffee M...,5.99,6.99,8
Metro,Salted Caramel Flavoured Instant Iced Latte Coffee M...,5.99,6.99,9
Metro,Salted Caramel Flavoured Instant Iced Latte Coffee M...,5.99,6.99,10
Metro,Coffee Royal Flavoured Ice Cream,11.99,12.49,10
Metro,"Ground Coffee, Aroma",8.99,9.49,9
Metro,Coffee Flavoured Cookies,2.4899999999999998,2.9899999999999998,10
Metro,Coffee Flavoured Wafers,0.99,1.6900000000000002,9
Metro,"Marble Coffee Flavoured Ice Cream, Parvelicious",9.99,11.29,10
Metro,Decaffeinated Roasted Ground Coffee,4.99,5.49,6
Metro,Decaffeinated Roasted Ground Coffee,4.99,5.49,7
Metro,"House Blend Coffee T Discs, Tassimo",5.99,9.99,6
Metro,"House Blend Coffee T Discs, Tassimo",5.99,9.99,7
Metro,"House Blend Coffee T Discs, Tassimo",8.99,9.99,8
Metro,"House Blend Coffee T Discs, Tassimo",8.99,9.99,9
Metro,"House Blend Coffee T Discs, Tassimo",5.99,9.99,9
Metro,"House Blend Coffee T Discs, Tassimo",8.49,9.99,9
Metro,"House Blend Coffee T Discs, Tassimo",8.49,9.99,10
Metro,Spicy Pumpkin Flavoured Almond Milk Coffee Whitener,5.99,6.49,10
Metro,"Dark Roast K-Cup Coffee Pods, Keurig",33.99,34.99,8
Metro,"Medium Roast K-Cup Coffee Pods, Crema E Gusto",19.99,24.99,8
Metro,"Medium Roast K-Cup Coffee Pods, Crema E Gusto",19.99,24.99,9
Metro,"Medium Roast K-Cup Coffee Pods, Colombian Blend",32.99,37.99,6
Metro,"Medium Roast K-Cup Coffee Pods, Colombian Blend",35.99,37.99,6
Metro,"Medium Roast K-Cup Coffee Pods, Colombian Blend",35.99,37.99,7
Metro,"Medium Roast K-Cup Coffee Pods, Colombian Blend",35.99,37.99,8
Metro,"Medium Roast K-Cup Coffee Pods, Colombian Blend",35.99,37.99,9
Metro,"Medium Roast K-Cup Coffee Pods, Colombian Blend",34.99,37.99,9
Metro,"Medium Roast K-Cup Coffee Pods, Colombian Blend",34.99,37.99,10
Metro,"BBQ Sauce Made With Coffee, Crank It Up",4.99,5.49,9
